Magazin original,Magazin standard,Stradă standard,Localitate standard,Sector atribuit,Județ,Bazin comercial,Nr. clienți
Staer 9,Staer 9,Telega,Sector 1,Sector 1,București,Nord,2
Staer 9,Staer 9,Teodosie Rudeanu,Sector 1,Sector 1,București,Nord,2
Staer 9,Staer 9,Topraisar,Sector 1,Sector 1,București,Nord,2
Staer 9,Staer 9,Triumfului,Sector 1,Sector 1,București,Nord,2
Staer 9,Staer 9,Vespasian,Sector 1,Sector 1,București,Nord,2
Staer 9,Staer 9,Aleea Ea Argedava,Sector 2,Sector 2,București,Nord-Est,2
Staer 9,Staer 9,Aleea Ea Cumidava,Sector 2,Sector 2,București,Nord-Est,2
Staer 9,Staer 9,Aleea Magura Vulturului,Sector 2,Sector 2,București,Nord-Est,2
Staer 9,Staer 9,Aleea Socului,Sector 2,Sector 2,București,Nord-Est,2
Staer 9,Staer 9,Bulevardul Doamna Ghica,Sector 2,Sector 2,București,Nord-Est,2
Staer 9,Staer 9,Bulevardul Ferdinand,Sector 2,Sector 2,București,Nord-Est,2
Staer 9,Staer 9,Bulevardul Ferdinand I,Sector 2,Sector 2,București,Nord-Est,2
Staer 9,Staer 9,Ciocarliei,Sector 2,Sector 2,București,Nord-Est,2
Staer 9,Staer 9,Costache Conachi,Sector 2,Sector 2,București,Nord-Est,2
Staer 9,Staer 9,Cristea Mateescu,Sector 2,Sector 2,București,Nord-Est,2
Staer 9,Staer 9,Cristescu Dima,Sector 2,Sector 2,București,Nord-Est,2
Staer 9,Staer 9,Delea Veche,Sector 2,Sector 2,București,Nord-Est,2
Staer 9,Staer 9,Elev Stefanescu,Sector 2,Sector 2,București,Nord-Est,2
Staer 9,Staer 9,Erou Ion Scortan,Sector 2,Sector 2,București,Nord-Est,2
Staer 9,Staer 9,Intrarea Mecet,Sector 2,Sector 2,București,Nord-Est,2
Staer 9,Staer 9,Intrarea Viitorului,Sector 2,Sector 2,București,Nord-Est,2
Staer 9,Staer 9,Ion Berindei,Sector 2,Sector 2,București,Nord-Est,2
Staer 9,Staer 9,Ion Maiorescu,Sector 2,Sector 2,București,Nord-Est,2
Staer 9,Staer 9,Melodiei,Sector 2,Sector 2,București,Nord-Est,2
Staer 9,Staer 9,Nada Florilor,Sector 2,Sector 2,București,Nord-Est,2
Staer 9,Staer 9,Pescarusului,Sector 2,Sector 2,București,Nord-Est,2
Staer 9,Staer 9,Poiana cu Aluni,Sector 2,Sector 2,București,Nord-Est,2
Staer 9,Staer 9,Raspantiilor,Sector 2,Sector 2,București,Nord-Est,2
Staer 9,Staer 9,Ritmului,Sector 2,Sector 2,București,Nord-Est,2
Staer 9,Staer 9,Rovine,Sector 2,Sector 2,București,Nord-Est,2
Staer 9,Staer 9,Strada Maior Ion Coravu,Sector 2,Sector 2,București,Nord-Est,2
Staer 9,Staer 9,Strada Vasile Lascăr,Sector 2,Sector 2,București,Nord-Est,2
Staer 9,Staer 9,Strada Ziduri Intre VII,Sector 2,Sector 2,București,Nord-Est,2
Staer 9,Staer 9,Șoseaua Morarilor,Sector 2,Sector 2,București,Nord-Est,2
Staer 9,Staer 9,Tampa,Sector 2,Sector 2,București,Nord-Est,2
Staer 9,Staer 9,Tarcaus,Sector 2,Sector 2,București,Nord-Est,2
Staer 9,Staer 9,Tugomir Voievod,Sector 2,Sector 2,București,Nord-Est,2
Staer 9,Staer 9,Tusnad,Sector 2,Sector 2,București,Nord-Est,2
Staer 9,Staer 9,Vaselor,Sector 2,Sector 2,București,Nord-Est,2
Staer 9,Staer 9,Vergului,Sector 2,Sector 2,București,Nord-Est,2
Staer 9,Staer 9,Aleea Adrian Carstea,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Aleea Barajul Bicaz,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Aleea Ea Adrian Cirstea,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Aleea Ea Barajul Lotru,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Aleea Ea Calistrat Hogas,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Aleea Ea Cioplea,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Aleea Ea Fetesti,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Aleea Ea Florin Ciungan,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Aleea Ea Ianca,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Aleea Ea Marius Emanoil Buteica,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Aleea Ea Postavaru,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Aleea Ea Ramnicu Valcea,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Aleea Ea Tandala,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Bogdan Gheorghe Tudor,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Bulevardul 1 Dec 1918,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Bulevardul Hristo Botev,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Bulevardul Mircea Vodă,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Burdujeni,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Campineanca,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Col Iosif Albu,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Corneliu Coposu,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Cozla,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Danubiu,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Dr Gura Ariesului,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Dr Lunca Jaristei,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Drumul Murgului,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Firidei,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Gheorghe Petrascu,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Gradinarilor,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Intrarea Area Horbotei,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Intrarea Odobesti,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Irisului,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Lotrioara,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Lt Aurel Botea,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Motilor,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Muresana,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Negostina,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Panait Cerna,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Pictor Victor Brauner,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Pl Petre Ionescu,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Popa Stoica Farcas,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Schitului,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Strada Dristorului,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Strada Istriei,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Strada Lemnisorului,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Strada Nucului,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Strada Răcari,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Strada Trapezului,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Strada Vlaicu Vodă,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Șoseaua Vitan Barzesti,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Unirii,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Valeriu Braniste,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Vantului,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Vitioara,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Vlad Dracul,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Zemes,Sector 3,Sector 3,București,Est,2
Staer 9,Staer 9,Aleea Cetatea Veche,Sector 4,Sector 4,București,Sud,2
Staer 9,Staer 9,Aleea Cricovul Dulce,Sector 4,Sector 4,București,Sud,2
Staer 9,Staer 9,Aleea Ea Calinesti,Sector 4,Sector 4,București,Sud,2
Staer 9,Staer 9,Aleea Ea Stupilor,Sector 4,Sector 4,București,Sud,2
Staer 9,Staer 9,Aleea Huedin,Sector 4,Sector 4,București,Sud,2
Staer 9,Staer 9,Aleea Tohani,Sector 4,Sector 4,București,Sud,2
Staer 9,Staer 9,Almasu MIC,Sector 4,Sector 4,București,Sud,2
Staer 9,Staer 9,Anton Bacalbasa,Sector 4,Sector 4,București,Sud,2
Staer 9,Staer 9,Baladei,Sector 4,Sector 4,București,Sud,2
Staer 9,Staer 9,Bulevardul Alexandru Obregia,Sector 4,Sector 4,București,Sud,2
Staer 9,Staer 9,Bulevardul Brancoveanu,Sector 4,Sector 4,București,Sud,2
Staer 9,Staer 9,Bulevardul Marasesti,Sector 4,Sector 4,București,Sud,2
Staer 9,Staer 9,Ciochina,Sector 4,Sector 4,București,Sud,2
Staer 9,Staer 9,Dr Cheile Turzii,Sector 4,Sector 4,București,Sud,2
Staer 9,Staer 9,Drumul Dealul Babii,Sector 4,Sector 4,București,Sud,2
Staer 9,Staer 9,Garnitei,Sector 4,Sector 4,București,Sud,2
Staer 9,Staer 9,Intrarea Area Ulmeni,Sector 4,Sector 4,București,Sud,2
Staer 9,Staer 9,Intrarea Crisul Alb,Sector 4,Sector 4,București,Sud,2
Staer 9,Staer 9,Izvorul Crisului,Sector 4,Sector 4,București,Sud,2
Staer 9,Staer 9,Izvorul Rece,Sector 4,Sector 4,București,Sud,2
Staer 9,Staer 9,Obolului,Sector 4,Sector 4,București,Sud,2
Staer 9,Staer 9,Pajistei,Sector 4,Sector 4,București,Sud,2
Staer 9,Staer 9,Piscului,Sector 4,Sector 4,București,Sud,2
Staer 9,Staer 9,Solstitiului,Sector 4,Sector 4,București,Sud,2
Staer 9,Staer 9,Spinis,Sector 4,Sector 4,București,Sud,2
Staer 9,Staer 9,Strada Panselelor,Sector 4,Sector 4,București,Sud,2
Staer 9,Staer 9,Strada Pridvorului,Sector 4,Sector 4,București,Sud,2
Staer 9,Staer 9,Strada Stoian Militaru,Sector 4,Sector 4,București,Sud,2
Staer 9,Staer 9,Tulnici,Sector 4,Sector 4,București,Sud,2
Staer 9,Staer 9,Aleea Ea Radaseni,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Aleea Erou George Cristian Stanciu,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Aleea Gradinii,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Aleea Leresti,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Anteaeriana,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Arefului,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Baltagului,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Bascov,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Botosani,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Bulevardul Mihail Kogălniceanu,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Bulevardul Regina Elisabeta,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Calea 13 Sept,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Calea Sebastian,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Campia Burnas,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Carol Davila,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Clejani,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Delureni,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Doina,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Dr Ion Ghiulamila,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Drumul Maracineni,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Drumul Vulturesti,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Florarilor,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Grigoreanu Petre,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Grindu,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Ilieana Cosanzeana,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Intrarea Doina,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Intrarea Teremia,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Jirlau,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Lacul Plopului,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Loc Col Constantin Marinescu,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Malcoci,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Mestecanis,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Mihai Voda,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Misca Petre,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Modoran Ene,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Ofrandei,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Panduri,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Petre Paun,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Serbota,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Serg Nutu Ion,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Sg Mj Nedeleanu Ion,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Sold Ilie Mihai,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Sold Vasile Croitoru,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Soldat Tunsu Petre,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Strada Amurgului,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Strada Oltina,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Suzana,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Șoseaua Pandurilor,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Șoseaua Progresului,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Uranus,Sector 5,Sector 5,București,Sud-Vest,2
Staer 9,Staer 9,Agnita,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Aleea Ea Arheologilor,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Aleea Ea Ariesul Mare,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Aleea Ea Masa Tacerii,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Aleea Ea Valea Bujorului,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Aleea Ea Zvoristea,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Aleea Sandulesti,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Aleea Valea Salciei,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Alizeului,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Apele VII,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Azului,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Boja,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Bulevardul Ceahlau,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Bulevardul Ceahlaul,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Bulevardul Timisoarei,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Bulevardul Tineretului,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Bv.timisoara,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Calea Bucuresti,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Calea Ea Griviței,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Calea Ea Plevnei,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Caporal Eftimie Z.croitoru,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Cara Anghel,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Centurii,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Cooperativei,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Dobreni,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Dr Valea Larga,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Drajna,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Drumul Valea Larga,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Floarea Rosie,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Geoagiu,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Gladiolelor,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Granitului,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Iedului,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Intrarea Area Dusului,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Intrarea Crainicului,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Intrarea Cucuruzului,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Intrarea Ierbii,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Intrarea Viforului,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Moise Constantin,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Muntii Gurghiului,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Odgonului,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Orsova,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Paduretu,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Partiturii,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Partizanilor,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Ramura Jiului,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Rosiori de Vede,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Rusetu,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Sergent Cutieru Alexandru,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Sg Constantin Apostol,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Sg Cutieru,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Stoian Popescu,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Șoseaua Grozavesti,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Vasile Adam,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,X Cutieru,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,X Cutierul,Sector 6,Sector 6,București,Vest,2
Staer 9,Staer 9,Negro Pontes,Afumați,—,Ilfov,Nord-Est,2
Staer 9,Staer 9,Calea Bucuresti,Balotești,—,Ilfov,Nord,2
Staer 9,Staer 9,Crinilor,Balotești,—,Ilfov,Nord,2
Staer 9,Staer 9,Lunii,Balotești,—,Ilfov,Nord,2
Staer 9,Staer 9,Strada Unitatii,Balotești,—,Ilfov,Nord,2
Staer 9,Staer 9,Unirii,Balotești,—,Ilfov,Nord,2
Staer 9,Staer 9,Zori de Zi,Balotești,—,Ilfov,Nord,2
Staer 9,Staer 9,1 Decembrie,Berceni (Ilfov),—,Ilfov,Sud,2
Staer 9,Staer 9,Bulevardul 1 Mai,Berceni (Ilfov),—,Ilfov,Sud,2
Staer 9,Staer 9,Intrarea Ciulin,Berceni (Ilfov),—,Ilfov,Sud,2
Staer 9,Staer 9,Macului,Berceni (Ilfov),—,Ilfov,Sud,2
Staer 9,Staer 9,Serelor,Berceni (Ilfov),—,Ilfov,Sud,2
Staer 9,Staer 9,Tuberozelor,Berceni (Ilfov),—,Ilfov,Sud,2
Staer 9,Staer 9,Aleea Ea Zambilelor,Bragadiru,—,Ilfov,Sud-Vest,2
Staer 9,Staer 9,Ametistului,Bragadiru,—,Ilfov,Sud-Vest,2
Staer 9,Staer 9,Cactusului,Bragadiru,—,Ilfov,Sud-Vest,2
Staer 9,Staer 9,Celofibrei,Bragadiru,—,Ilfov,Sud-Vest,2
Staer 9,Staer 9,Ciresari,Bragadiru,—,Ilfov,Sud-Vest,2
Staer 9,Staer 9,Dantelei,Bragadiru,—,Ilfov,Sud-Vest,2
Staer 9,Staer 9,Dumbravei,Bragadiru,—,Ilfov,Sud-Vest,2
Staer 9,Staer 9,Eroilor,Bragadiru,—,Ilfov,Sud-Vest,2
Staer 9,Staer 9,Freamatului,Bragadiru,—,Ilfov,Sud-Vest,2
Staer 9,Staer 9,Grivitei,Bragadiru,—,Ilfov,Sud-Vest,2
Staer 9,Staer 9,Plevnei,Bragadiru,—,Ilfov,Sud-Vest,2
Staer 9,Staer 9,Smardan,Bragadiru,—,Ilfov,Sud-Vest,2
Staer 9,Staer 9,Strada Mărțișor,Bragadiru,—,Ilfov,Sud-Vest,2
Staer 9,Staer 9,Șoseaua Clinceni,Bragadiru,—,Ilfov,Sud-Vest,2
Staer 9,Staer 9,Unirii,Bragadiru,—,Ilfov,Sud-Vest,2
Staer 9,Staer 9,Agricultori,Buftea,—,Ilfov,Nord,2
Staer 9,Staer 9,Bulevardul Mihai Eminescu,Buftea,—,Ilfov,Nord,2
Staer 9,Staer 9,Zorilor,Buftea,—,Ilfov,Nord,2
Staer 9,Staer 9,Prelungirea Ghencea,Cartierul Latin,—,Ilfov,Ilfov neatribuit,2
Staer 9,Staer 9,Toamnei,Cartierul Latin,—,Ilfov,Ilfov neatribuit,2
Staer 9,Staer 9,Aleea Ea Nucilor,Chiajna–Roșu–Dudu,—,Ilfov,Vest,2
Staer 9,Staer 9,Crinului,Chiajna–Roșu–Dudu,—,Ilfov,Vest,2
Staer 9,Staer 9,Dr Bacriului,Chiajna–Roșu–Dudu,—,Ilfov,Vest,2
Staer 9,Staer 9,Gladiolelor,Chiajna–Roșu–Dudu,—,Ilfov,Vest,2
Staer 9,Staer 9,Intrarea Canalului,Chiajna–Roșu–Dudu,—,Ilfov,Vest,2
Staer 9,Staer 9,Intrarea Eroului,Chiajna–Roșu–Dudu,—,Ilfov,Vest,2
Staer 9,Staer 9,Intrarea Razorului,Chiajna–Roșu–Dudu,—,Ilfov,Vest,2
Staer 9,Staer 9,Ion Luca Caragiale,Chiajna–Roșu–Dudu,—,Ilfov,Vest,2
Staer 9,Staer 9,Srg Ilie Petre,Chiajna–Roșu–Dudu,—,Ilfov,Vest,2
Staer 9,Staer 9,Strada Vlad Tepes,Chiajna–Roșu–Dudu,—,Ilfov,Vest,2
Staer 9,Staer 9,Toamnei,Chiajna–Roșu–Dudu,—,Ilfov,Vest,2
Staer 9,Staer 9,Viilor,Chiajna–Roșu–Dudu,—,Ilfov,Vest,2
Staer 9,Staer 9,Weiner Pallada,Chiajna–Roșu–Dudu,—,Ilfov,Vest,2
Staer 9,Staer 9,Weinner Palada,Chiajna–Roșu–Dudu,—,Ilfov,Vest,2
Staer 9,Staer 9,Tineretului,Chiajna–Roșu–Dudu,—,Ilfov,Vest,2
Staer 9,Staer 9,Gentianei,Chiajna–Roșu–Dudu,—,Ilfov,Vest,2
Staer 9,Staer 9,IL Caragiale,Chiajna–Roșu–Dudu,—,Ilfov,Vest,2
Staer 9,Staer 9,Intrarea Area Canalului,Chiajna–Roșu–Dudu,—,Ilfov,Vest,2
Staer 9,Staer 9,Sg Ilie Petre,Chiajna–Roșu–Dudu,—,Ilfov,Vest,2
Staer 9,Staer 9,Wiener Palada,Chiajna–Roșu–Dudu,—,Ilfov,Vest,2
Staer 9,Staer 9,Drumul Piscului,Ciolpani,—,Ilfov,Ilfov neatribuit,2
Staer 9,Staer 9,Fermei,Ciolpani,—,Ilfov,Ilfov neatribuit,2
Staer 9,Staer 9,Intrarea Putul Olteni,Clinceni,—,Ilfov,Sud-Vest,2
Staer 9,Staer 9,Monumentul Eroilor,Clinceni,—,Ilfov,Sud-Vest,2
Staer 9,Staer 9,Ortansei,Clinceni,—,Ilfov,Sud-Vest,2
Staer 9,Staer 9,Șoseaua Principala,Clinceni,—,Ilfov,Sud-Vest,2
Staer 9,Staer 9,Șoseaua Bucuresti-Domnesti,Clinceni,—,Ilfov,Sud-Vest,2
Staer 9,Staer 9,Cantonului,Corbeanca,—,Ilfov,Nord,2
Staer 9,Staer 9,Hipodromului,Corbeanca,—,Ilfov,Nord,2
Staer 9,Staer 9,Primaverii,Corbeanca,—,Ilfov,Nord,2
Staer 9,Staer 9,Scolii,Corbeanca,—,Ilfov,Nord,2
Staer 9,Staer 9,Șoseaua Unirii,Corbeanca,—,Ilfov,Nord,2
Staer 9,Staer 9,Unirii,Corbeanca,—,Ilfov,Nord,2
Staer 9,Staer 9,Ghioceilor,Corbeanca,—,Ilfov,Nord,2
Staer 9,Staer 9,Aeroportului,Cornetu,—,Ilfov,Sud-Vest,2
Staer 9,Staer 9,Crinului,Cornetu,—,Ilfov,Sud-Vest,2
Staer 9,Staer 9,Panselelor,Cornetu,—,Ilfov,Sud-Vest,2
Staer 9,Staer 9,Șoseaua Alexandriei,Cornetu,—,Ilfov,Sud-Vest,2
Staer 9,Staer 9,Berzelor,Crevedia,—,Ilfov,Ilfov neatribuit,2
Staer 9,Staer 9,1mai,Darasti,—,Ilfov,Ilfov neatribuit,2
Staer 9,Staer 9,Doinei,Dobroești,—,Ilfov,Nord-Est,2
Staer 9,Staer 9,Dr Garii,Dobroești,—,Ilfov,Nord-Est,2
Staer 9,Staer 9,Nicolae Balcescu,Dobroești,—,Ilfov,Nord-Est,2
Staer 9,Staer 9,Cararuia,Domnești,—,Ilfov,Sud-Vest,2
Staer 9,Staer 9,Ciocarliei,Domnești,—,Ilfov,Sud-Vest,2
Staer 9,Staer 9,Craitei,Domnești,—,Ilfov,Sud-Vest,2
Staer 9,Staer 9,Dr Targului,Domnești,—,Ilfov,Sud-Vest,2
Staer 9,Staer 9,Drumul Targului,Domnești,—,Ilfov,Sud-Vest,2
Staer 9,Staer 9,Floarea Soarelui,Domnești,—,Ilfov,Sud-Vest,2
Staer 9,Staer 9,Intrarea Foisorului,Domnești,—,Ilfov,Sud-Vest,2
Staer 9,Staer 9,Intrarea Frumoasa,Domnești,—,Ilfov,Sud-Vest,2
Staer 9,Staer 9,Intrarea Potcoavei,Domnești,—,Ilfov,Sud-Vest,2
Staer 9,Staer 9,Teiului,Domnești,—,Ilfov,Sud-Vest,2
Staer 9,Staer 9,Toamnei,Domnești,—,Ilfov,Sud-Vest,2
Staer 9,Staer 9,Trandafirilor,Domnești,—,Ilfov,Sud-Vest,2
Staer 9,Staer 9,Uverturii,Domnești,—,Ilfov,Sud-Vest,2
Staer 9,Staer 9,Teilor,Dragomirești,—,Ilfov,Vest,2
